frame,id,width,xVelocity,yVelocity,xAcceleration,dhw
6001,car229,5.0,5.684,0.0,-0.505,8.049
6001,car222,5.0,5.116,0.0,-0.615,9.296
6001,car221,5.0,4.086,0.0,-0.786,16.957
6001,car207,5.0,4.801,0.0,-0.712,8.106
6001,car199,5.0,5.687,0.0,-0.497,15.416
6001,car196,5.0,5.242,0.0,0.224,13.799
6001,car214,5.0,6.327,0.0,-0.194,11.078
6001,car171,5.0,6.421,0.0,-0.306,10.384
6001,car211,5.0,6.136,0.0,-0.295,12.186
6001,car152,5.0,3.715,0.0,0.019,8.413
6001,car139,5.0,3.972,0.0,-0.242,10.073
6001,car137,5.0,5.917,-2.99,0.086,25.471
6001,car204,5.0,4.931,0.0,-0.101,28.964
6001,car189,5.0,5.009,0.0,-0.132,9.278
6001,car208,5.0,4.901,0.0,-0.1,-4.705
6001,car197,5.0,4.459,0.041,-0.205,10.971
6001,car192,5.0,4.31,0.0,-0.179,9.412
6001,car160,5.0,3.888,0.238,-0.209,-0.325
6001,car178,5.0,4.529,0.0,-0.208,-6.81
6001,bus14,12.0,4.47,0.0,-0.259,7.363
6001,car166,5.0,3.818,0.0,-0.44,9.243
6001,car163,5.0,2.743,0.0,-0.154,10.228
6001,car194,5.0,5.243,0.646,-0.242,1.313
6001,car181,5.0,4.615,0.34,-0.139,-5.126
6001,car203,5.0,4.625,0.0,-0.176,9.541
6001,bus16,12.0,4.138,0.536,-0.009,-8.084
6001,car185,5.0,4.226,0.0,-0.117,2.874
6001,car176,5.0,4.546,-0.068,-0.121,-4.386
6001,car172,5.0,3.911,0.0,-0.068,9.777
6001,car173,5.0,3.844,0.035,0.136,6.275
6001,car168,5.0,3.674,0.011,0.391,7.495
6001,car164,5.0,3.629,0.715,0.748,-7.165
6001,car206,5.0,5.978,0.0,0.044,6.733
6001,car201,5.0,6.063,0.0,-0.005,12.409
6001,car195,5.0,6.014,0.0,-1.006,9.911
6001,car191,5.0,6.492,0.0,0.018,-5.359
6001,car175,5.0,5.09,0.0,0.301,9.196
6001,car184,5.0,5.432,0.0,0.314,9.047
6001,car180,5.0,5.907,0.0,0.235,9.505
6002,car229,5.0,5.667,0.0,-0.516,8.038
6002,car222,5.0,5.095,0.0,-0.625,9.276
6002,car221,5.0,4.059,0.0,-0.791,16.922
6002,car207,5.0,4.776,0.0,-0.721,8.131
6002,car199,5.0,5.67,0.0,-0.51,15.446
